open,high,low,volume,close_lag_1,close_lag_2,close_lag_3,close_ma_5,close_ma_10,close_std_5
-1.320898526334605,-1.3341795901458873,-1.3111058141005827,0.42102677707516917,-1.337706736196244,-1.3171157533703892,-1.2450875204274516,-1.2926741990282156,-1.2313092394427074,-0.41613179443376636
-1.2923750493083899,-1.312502649645907,-1.336371969429476,0.7255515139330083,-1.3082324531468832,-1.3344084419869702,-1.3140565656358647,-1.3142312713797537,-1.2512733507438722,-0.4210236063041104
-1.354570206640852,-1.3345502835010272,-1.367154810054256,1.6760183644181061,-1.357933929853903,-1.304968355446047,-1.331331330886633,-1.327915666139039,-1.2704809529004328,-1.0091902798845418
-1.3259816174314998,-1.329007124725331,-1.3484103686073734,2.3130081225338692,-1.3196512403759977,-1.354612167748992,-1.3019217581340703,-1.3332310490999124,-1.284954944450682,-0.9880734958056934
-1.3531420794240472,-1.3571453366131567,-1.3437056059683994,0.3604676245865258,-1.3469538255879459,-1.316373894425724,-1.3515141160780102,-1.3390175584000819,-1.3008429393159913,-0.8513122865249776
-1.3906597193475865,-1.4168140356271222,-1.4153040179947263,2.053948572927231,-1.3666207212035528,-1.3436448027658716,-1.3133154756062908,-1.3642749717597051,-1.32325115708434,-0.3563719730366644
-1.453914034859077,-1.4782672352111794,-1.484146281758669,2.2755670545003324,-1.4344385012702672,-1.3632888805520935,-1.3405581184478188,-1.3925251673816819,-1.3481351834826514,0.49245712800598074
-1.4931028874831325,-1.435228012524302,-1.4731743539625544,2.685652839519484,-1.499094289285709,-1.431027977405907,-1.3601818357221491,-1.4146611514342744,-1.3660312715079215,0.14836765531210594
-1.412303009022325,-1.434857319169162,-1.450102584192884,1.3751038716140338,-1.4302601546310856,-1.4956087507993914,-1.427850722983941,-1.438140106324896,-1.380417104989081,-0.17729268521462785
-1.4743766236129312,-1.4548057941411068,-1.4712301283570828,1.4367912899451343,-1.464273286160639,-1.426854478547615,-1.4923645602952662,-1.4515732916523432,-1.3900193861006525,-0.7247589305533586
-1.4415123343775829,-1.4337495494915928,-1.4238972318446435,0.8718200217343988,-1.4337435579622952,-1.460828147528159,-1.42368154983511,-1.450021703985105,-1.4018629666928812,-0.686751019794582
-1.4418205320444315,-1.4117019156364725,-1.4456523702787798,1.474556166142614,-1.426685539990705,-1.4303338403816588,-1.457620006101736,-1.427893543063608,-1.4049215739864818,-0.7958625297318342
-1.4055443644127046,-1.4125036477766586,-1.4304145569555355,1.4154038330414154,-1.3885244655916942,-1.423284011229139,-1.42715730541241,-1.4312635740921125,-1.41766454059391,-0.7602476624215531
-1.4498814203167922,-1.4394737445570085,-1.4442699073764693,0.9755723316321527,-1.4470994996623814,-1.385167211885114,-1.420114783201547,-1.4279257048247778,-1.4277271544800398,-0.8745885132830539
-1.422720958324245,-1.4386116669869156,-1.412359152574249,0.2217967267173,-1.4475946467693115,-1.4436742863164274,-1.3820374908048454,-1.425543996024648,-1.433248542117529,-0.8754675470832654
-1.3910938005684996,-1.3795593534355666,-1.3697266299296653,2.727352801145152,-1.4218426538132753,-1.4441688589462043,-1.4404839243652734,-1.410717424125446,-1.4250659099116487,-0.40547321747420356
-1.3692681967809774,-1.2980930230618077,-1.3449607945082747,2.4241952083923852,-1.3526002399652184,-1.41844674384141,-1.4409779843849893,-1.3885518860220494,-1.4029364974652483,0.5124628007750909
-1.257336013156266,-1.2764807383795838,-1.2991903005140022,1.865982996489512,-1.2777678758836617,-1.3492846660878877,-1.4152825294999398,-1.3561910696278787,-1.3884525175623432,0.6176281859257112
-1.2702369070418098,-1.2970499092019951,-1.2923569838825821,0.25668803793214096,-1.285399222084329,-1.2745391236455696,-1.346192136216509,-1.3267239425021857,-1.3720629336832466,0.14026240795838085
-1.3148821606127463,-1.2948947152767636,-1.2891619585083534,0.8021250155532885,-1.3003535333927505,-1.2821616158430946,-1.271524065342075,-1.301603868555124,-1.3583228689150761,-0.7277771340283811
-1.287847582174264,-1.2695237723889359,-1.2702902426990355,0.8929609546179618,-1.2963228622065133,-1.2970985769336334,-1.2791386570494512,-1.2789411270087805,-1.3395929705811718,-0.8706325174511469
-1.2251532314377511,-1.2211870830338392,-1.2159309236259639,1.6753248735449768,-1.239359227931186,-1.2930725821929945,-1.2940601364168358,-1.269181336348979,-1.323642874218918,-0.6141792292522245
-1.2204998807495606,-1.2464933701039096,-1.2237692688435085,0.15075028123038958,-1.2290002292467288,-1.2361750379866567,-1.2900383145019556,-1.2609288022802083,-1.3033521872135372,-0.6039729910822023
-1.2761881605805319,-1.3021577188047948,-1.285212064501752,0.39949425742027717,-1.2441630235475425,-1.225828057968958,-1.2331997429355155,-1.2609288022802083,-1.2886302239517096,-0.6039729910822023
-1.3173651051963704,-1.3328304387486922,-1.342327531837207,1.250965905692457,-1.3003535333927505,-1.240973260166772,-1.2228634872598798,-1.2734327734808892,-1.2823271391498756,-0.013476803042818775
-1.3664770545305045,-1.3828352482019188,-1.4293480855737533,0.8552880341530632,-1.358802608988868,-1.2970985769336334,-1.2379929918987245,-1.3144112033949462,-1.291477773010937,0.9314805454798157
-1.4551511663386798,-1.4170597277345984,-1.4377525822655772,1.890139870759643,-1.4441199302294518,-1.3554798390293021,-1.2940601364168358,-1.356367524695917,-1.3075633635483437,0.8905833730784977
-1.4317758925924968,-1.4223571944028182,-1.4132369067979382,0.6611938664414262,-1.4386472516791724,-1.4406981738249636,-1.3523808880424242,-1.3925599368532164,-1.3215223035225308,0.1954629580384048
