target
63.2571
64.1385
63.5099
63.0571
61.4957
60.0071
61.5919
60.8088
61.5117
61.6742
62.5528
61.2042
61.1928
61.7857
63.3799
65.1028
64.9271
64.5828
64.6756
65.9871
66.2256
65.8765
64.5828
63.2371
61.2728
61.3988
61.7128
61.1028
60.4571
60.8871
60.9971
62.2414
62.0471
61.3999
59.9785
60.8914
57.5428
56.0071
55.7899
56.9528
58.0185
57.9231
58.3399
59.6007
61.4457
63.2542
62.7557
63.6457
64.2828
65.8156
65.5225
66.2628
65.2528
64.7099
64.9628
63.4085
61.2642
62.0825
61.8942
63.2757
62.8085
63.0505
63.1628
63.5928
63.0627
63.5642
64.5114
64.2478
64.3885
64.1871
63.5871
62.6371
63.1158
62.6985
62.5142
61.7414
62.2807
61.4357
61.7142
61.6814
60.4285
59.5482
59.0714
57.5057
57.5185
56.8671
56.2542
56.6471
58.4599
59.7842
60.1142
59.6314
59.2928
60.3357
60.1042
61.0411
60.9299
61.0628
61.4564
61.4728
61.6797
60.7071
60.9014
59.8557
62.9299
62.6428
62.9985
63.9699
64.7599
64.6471
65.2394
66.0771
67.0642
66.4642
66.4256
65.8585
64.9214
66.7656
69.9385
71.2142
71.1299
71.7614
72.5342
71.5814
71.7656
71.8514
71.5742
71.8528
69.7985
70.1279
70.2428
69.6022
69.7971
71.2415
70.7528
71.1742
72.3099
70.6628
66.8156
67.5271
66.4142
64.3028
65.0456
66.3828
67.4714
66.7728
70.0914
69.8714
68.7899
69.4599
68.9642
68.1071
69.7085
69.9371
69.0585
69.0042
69.6785
68.7056
69.5125
69.9482
70.4016
70.8628
71.2399
71.5876
72.0714
72.6985
74.4802
74.2667
74.9942
75.9871
75.1368
75.6965
73.8111
74.9851
74.6716
74.2899
75.2499
75.0641
74.4171
73.2131
74.3656
74.1496
74.2871
74.3762
75.4514
74.9986
74.0898
74.2214
73.5714
74.4479
74.2571
74.8199
76.1999
77.9942
79.4385
78.7471
80.9031
80.7142
81.1286
80.0028
80.9185
80.7928
80.1942
80.0771
79.2042
79.6428
79.2842
78.6813
77.7799
78.4314
81.4413
81.0956
80.5571
80.0128
79.2171
80.1456
79.0185
77.2828
77.7042
77.1481
77.6371
76.6455
76.1342
76.5328
78.0556
79.6228
79.1785
77.2385
78.4385
78.7871
79.4542
78.0099
78.6428
72.3571
71.5356
71.3974
71.5142
71.6471
72.6842
73.2271
73.2156
74.2399
